signal,time
2470.998456542279,1669884021.5994625
-605.3854860772099,1669884021.6020727
-147.89861342079848,1669884021.6023412
3199.168575007925,1669884021.604864
3145.852039542897,1669884021.6051188
-1535.789443452843,1669884021.6076388
-4385.321256853516,1669884021.607896
-2785.488089619185,1669884021.610473
-368.94134601463236,1669884021.6107306
-274.5818880322404,1669884021.64781
-914.0438536172986,1669884021.648106
-108.40766726504228,1669884021.6507244
-654.780262687233,1669884021.6509848
-4242.5929300760445,1669884021.6535053
-5975.738473904629,1669884021.653767
-3606.379774612207,1669884021.6562955
-1406.4473988059099,1669884021.6565533
-1055.225405501843,1669884021.6591046
1997.6571302062835,1669884021.6593602
6088.616910201687,1669884021.6966228
3432.7701859846225,1669884021.6969168
-1391.8491319609877,1669884021.6995363
262.8879563740481,1669884021.6998086
5004.463299257783,1669884021.7023203
5155.948050950251,1669884021.702563
2141.526982597169,1669884021.705041
3037.951867052863,1669884021.7052784
5387.778297217813,1669884021.7078547
2764.276591272722,1669884021.7081032
880.2127565016604,1669884021.7452
3401.614743049309,1669884021.7454956
4314.725366328515,1669884021.7480812
2784.9698221673893,1669884021.7483456
1009.218707308971,1669884021.7509015
1424.6008122909707,1669884021.7511616
2510.3421863765134,1669884021.7536428
-562.1970276159497,1669884021.75391
-3124.009824469333,1669884021.7564325
-579.8850338285246,1669884021.7566874
2321.2496199038233,1669884021.7951348
1232.2507859388093,1669884021.7957666
-1408.8881668322297,1669884021.798492
-518.2492188486117,1669884021.798764
2864.753673230125,1669884021.801299
2095.581073089784,1669884021.801574
-2100.908119832635,1669884021.804166
-1234.6514258258348,1669884021.804451
3257.7583085445617,1669884021.84281
2161.653363826676,1669884021.8431137
-4191.738348281013,1669884021.8457117
-7147.884042335465,1669884021.8459892
-5125.21298556819,1669884021.8485215
-3383.91565120876,1669884021.8487666
-1914.0104443147754,1669884021.8512895
107.76261760202419,1669884021.8515396
171.9921331614962,1669884021.8540773
-1664.3311028630812,1669884021.8543248
-3411.1026807116114,1669884021.8916938
-2818.016908291786,1669884021.8919923
213.3032315411469,1669884021.8945813
1324.2468873574164,1669884021.8948438
131.92341281382824,1669884021.8973851
661.1831422063791,1669884021.8976514
1619.8177594970268,1669884021.9001925
-965.5005132252215,1669884021.9004571
-4606.512054067344,1669884021.903027
-2469.909679885687,1669884021.90329
2735.1896343266153,1669884021.9402633
1344.3134047793326,1669884021.9405608
-2881.8968100935467,1669884021.9431303
243.5822257442162,1669884021.9434016
6029.402238275475,1669884021.9459863
5686.7378758156465,1669884021.9462464
984.2699375585779,1669884021.9487758
-1215.7961472921972,1669884021.9490323
972.2925592314805,1669884021.9516716
2252.759119874395,1669884021.9519398
1390.4560614336722,1669884021.9891074
2618.347126222323,1669884021.9893897
3108.201928009882,1669884021.991971
-2755.4206658777043,1669884021.9922314
-7463.288299874719,1669884021.9948
-3130.955078807552,1669884021.9950612
3039.326400650755,1669884021.9975827
3223.7459282835744,1669884021.9978561
684.5826025766453,1669884022.0003994
2747.2133195833235,1669884022.0006583
5402.375591418274,1669884022.0380633
1.4939045489697946,1669884022.0385976
-6667.332441843702,1669884022.0412147
-4759.16269773727,1669884022.0414953
-109.98658655741474,1669884022.0444045
-1960.9153421473025,1669884022.044683
-5259.210365025994,1669884022.047411
-2143.505223738263,1669884022.0476716
1655.8940069263283,1669884022.0502594
176.17077780483328,1669884022.0505264
-2298.0579936476865,1669884022.0865772
-562.791755947834,1669884022.0868747
2876.586701680678,1669884022.089868
1551.517823737515,1669884022.0901322
-2899.9629020712127,1669884022.093189
-3444.0543513087205,1669884022.093494
-201.057399605922,1669884022.0962746
1633.1869716805784,1669884022.09654
1447.5199457236251,1669884022.099265
1449.8330927905495,1669884022.0995255
899.5143983281517,1669884022.1352081
-1148.3692692716106,1669884022.1355004
-1032.4466577037347,1669884022.1381052
3545.3492147373886,1669884022.138374
7011.629442874937,1669884022.1408978
5050.768570420188,1669884022.141155
1572.1807245560378,1669884022.1437078
2331.1554125616462,1669884022.1439695
5075.530056279191,1669884022.14657
2934.1819999389736,1669884022.1468573
-2850.0353104408064,1669884022.1840136
-6069.462104156628,1669884022.1846244
-3448.476707776729,1669884022.1873357
-153.47537274057765,1669884022.1876032
-1126.6057751497106,1669884022.1901696
-218.26908051866712,1669884022.1904285
